nm,HL,LL,HL_UB,HL_LB,LL_UB,LL_LB
553,6.80E-10,1.90E-09,7.12592E-10,6.46935E-10,2.02918E-09,1.76308E-09
554,6.84E-10,1.99E-09,7.13538E-10,6.54829E-10,2.14259E-09,1.82787E-09
555,6.89E-10,2.04E-09,7.20449E-10,6.58315E-10,2.18966E-09,1.89104E-09
556,6.95E-10,2.10E-09,7.28583E-10,6.60589E-10,2.23695E-09,1.95412E-09
557,7.04E-10,2.13E-09,7.34192E-10,6.74716E-10,2.28188E-09,1.98494E-09
558,7.14E-10,2.17E-09,7.40147E-10,6.88516E-10,2.32688E-09,2.01575E-09
559,7.39E-10,2.23E-09,7.69321E-10,7.085E-10,2.38211E-09,2.08086E-09
560,7.64E-10,2.29E-09,7.99049E-10,7.28035E-10,2.43752E-09,2.14594E-09
561,7.81E-10,2.38E-09,8.14133E-10,7.47947E-10,2.55738E-09,2.21015E-09
562,7.99E-10,2.48E-09,8.33413E-10,7.63723E-10,2.67804E-09,2.27394E-09
563,8.22E-10,2.54E-09,8.5393E-10,7.89633E-10,2.72971E-09,2.35605E-09
564,8.45E-10,2.61E-09,8.77413E-10,8.12676E-10,2.78181E-09,2.43791E-09
565,8.53E-10,2.67E-09,8.7687E-10,8.28214E-10,2.84274E-09,2.49265E-09
566,8.60E-10,2.73E-09,8.7799E-10,8.42109E-10,2.90375E-09,2.54745E-09
567,8.63E-10,2.72E-09,8.86671E-10,8.39174E-10,2.88921E-09,2.55808E-09
568,8.66E-10,2.72E-09,8.98356E-10,8.33252E-10,2.87494E-09,2.56845E-09
569,8.99E-10,2.88E-09,9.36533E-10,8.61572E-10,3.02476E-09,2.73334E-09
570,9.32E-10,3.04E-09,9.75653E-10,8.8913E-10,3.1758E-09,2.89804E-09
571,9.69E-10,3.11E-09,1.0073E-09,9.3144E-10,3.26987E-09,2.94086E-09
572,1.01E-09,3.17E-09,1.04154E-09,9.71378E-10,3.36545E-09,2.98239E-09
573,1.01E-09,3.22E-09,1.04475E-09,9.72E-10,3.39962E-09,3.03821E-09
574,1.01E-09,3.26E-09,1.04921E-09,9.71386E-10,3.43416E-09,3.09376E-09
575,1.04E-09,3.31E-09,1.07527E-09,9.95204E-10,3.462E-09,3.16132E-09
576,1.06E-09,3.36E-09,1.10163E-09,1.01882E-09,3.49186E-09,3.22697E-09
577,1.07E-09,3.41E-09,1.11293E-09,1.02683E-09,3.57585E-09,3.24935E-09
578,1.08E-09,3.47E-09,1.12656E-09,1.03252E-09,3.66323E-09,3.26849E-09
579,1.11E-09,3.57E-09,1.14709E-09,1.06358E-09,3.78268E-09,3.34814E-09
580,1.13E-09,3.67E-09,1.16913E-09,1.09324E-09,3.90267E-09,3.42765E-09
581,1.15E-09,3.70E-09,1.18787E-09,1.11276E-09,3.92627E-09,3.48189E-09
582,1.17E-09,3.74E-09,1.20754E-09,1.13142E-09,3.95029E-09,3.53579E-09
583,1.20E-09,3.83E-09,1.23754E-09,1.15671E-09,4.05408E-09,3.6066E-09
584,1.22E-09,3.92E-09,1.27163E-09,1.17806E-09,4.15828E-09,3.67732E-09
585,1.26E-09,3.97E-09,1.29557E-09,1.22452E-09,4.19909E-09,3.73795E-09
586,1.30E-09,4.02E-09,1.3197E-09,1.27099E-09,4.24016E-09,3.79842E-09
587,1.29E-09,4.07E-09,1.32542E-09,1.26045E-09,4.28849E-09,3.85053E-09
588,1.29E-09,4.12E-09,1.3322E-09,1.24888E-09,4.3369E-09,3.90266E-09
589,1.31E-09,4.23E-09,1.34648E-09,1.26645E-09,4.41327E-09,4.04676E-09
590,1.32E-09,4.34E-09,1.36215E-09,1.28268E-09,4.49552E-09,4.1855E-09
591,1.35E-09,4.38E-09,1.3895E-09,1.31494E-09,4.56506E-09,4.19753E-09
592,1.38E-09,4.42E-09,1.42017E-09,1.34402E-09,4.63898E-09,4.20531E-09
593,1.40E-09,4.48E-09,1.441E-09,1.35147E-09,4.69333E-09,4.26651E-09
594,1.41E-09,4.54E-09,1.4623E-09,1.35848E-09,4.74784E-09,4.32769E-09
595,1.42E-09,4.58E-09,1.46498E-09,1.3735E-09,4.79506E-09,4.37469E-09
596,1.43E-09,4.63E-09,1.47032E-09,1.38588E-09,4.84234E-09,4.42172E-09
597,1.45E-09,4.72E-09,1.48803E-09,1.4166E-09,4.95297E-09,4.48268E-09
598,1.48E-09,4.80E-09,1.50602E-09,1.44712E-09,5.06477E-09,4.54276E-09
599,1.50E-09,4.86E-09,1.53333E-09,1.47261E-09,5.12543E-09,4.60142E-09
600,1.53E-09,4.92E-09,1.56291E-09,1.49593E-09,5.18617E-09,4.66013E-09
601,1.54E-09,5.00E-09,1.58547E-09,1.50155E-09,5.25533E-09,4.74293E-09
602,1.56E-09,5.08E-09,1.61175E-09,1.50351E-09,5.32478E-09,4.82565E-09
603,1.58E-09,5.16E-09,1.62982E-09,1.52786E-09,5.42598E-09,4.90222E-09
604,1.60E-09,5.25E-09,1.65529E-09,1.54491E-09,5.52749E-09,4.97879E-09
605,1.62E-09,5.28E-09,1.67282E-09,1.56627E-09,5.51029E-09,5.05559E-09
